file,start,end,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.490000,0 days 00:00:00.510000,0.026554875,1.2391732,3.2464914,0.06049724,0.019672519,0.0013512982,21.839407,-28.462656,25.171188,-12.392445,0.0,0.0,0.0,0.0,0.0,0.0,837.1336,1715.8344,-201.0,1658.3647,1129.2035,-201.0,2754.125,1015.3169,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.500000,0 days 00:00:00.520000,0.026583964,0.68589973,2.941365,0.052705348,0.018017443,0.001424334,22.338778,-27.025864,25.437792,-11.193734,0.0,0.0,0.0,0.0,0.0,0.0,893.28595,1706.0787,-201.0,1736.5575,1218.7985,-201.0,2804.258,1448.7545,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.510000,0 days 00:00:00.530000,0.027695844,0.884409,2.6107168,0.057098854,0.018392643,0.0013984503,21.78221,-26.477926,26.132166,-12.436421,0.0,0.0,0.0,0.0,0.0,0.0,866.50934,1791.229,-201.0,1703.046,1222.6989,-201.0,2810.1172,1440.0819,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.520000,0 days 00:00:00.540000,0.027766807,-0.4915599,5.145906,0.039929483,0.01772113,0.0013574135,23.031668,-25.314707,24.243492,-9.916614,0.0,0.0,0.0,0.0,0.0,0.0,617.63025,1484.2104,-201.0,1611.7855,1179.0461,-201.0,2598.034,1408.4287,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.530000,0 days 00:00:00.550000,0.029754609,-1.127472,5.395956,0.051922787,0.014419018,0.0014392583,23.990149,-25.727365,22.65275,-11.524532,0.0,0.0,0.0,0.0,0.0,0.0,869.4671,1416.7979,-201.0,1848.3724,1039.9822,-201.0,2856.1104,975.6885,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.540000,0 days 00:00:00.560000,0.031091884,-2.1478877,6.7596397,0.04936929,0.013392727,0.0017622178,26.233856,-25.038925,21.952227,-7.294546,0.0,0.0,0.0,0.0,0.0,0.0,707.70825,1280.4404,-201.0,1703.1743,958.6396,-201.0,2715.7078,944.6106,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.550000,0 days 00:00:00.570000,0.031677768,-3.1802444,7.21769,0.058862086,0.008706843,0.0019649426,27.109077,-24.206808,21.629831,-11.023997,0.0,0.0,0.0,0.0,0.0,0.0,697.2227,1265.0524,-201.0,1734.8859,951.9172,-201.0,2780.919,1168.0964,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.560000,0 days 00:00:00.580000,0.031169174,-3.3979511,9.07502,0.057852883,0.013324409,0.002047743,28.202332,-23.582598,20.397163,-8.055047,0.0,0.0,0.0,0.0,0.0,0.0,617.7835,1289.4718,-201.0,1651.3588,1158.5518,-201.0,2600.7415,1556.7709,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.570000,0 days 00:00:00.590000,0.030937912,-4.261905,9.613412,0.055278704,0.012358186,0.0021173826,29.257914,-22.762558,19.682001,-9.877177,0.0,0.0,0.0,0.0,0.0,0.0,632.5551,1247.0497,-201.0,1668.2139,1168.5245,-201.0,2609.5295,1537.0392,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.580000,0 days 00:00:00.600000,0.030262263,-3.08754,8.913941,0.049708333,0.020162456,0.0022305092,28.651403,-23.41957,20.661507,-3.7483406,0.0,0.0,0.0,0.0,0.0,0.0,591.37494,1356.4064,-201.0,1570.0376,1153.8955,-201.0,2522.0342,1298.1581,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.590000,0 days 00:00:00.610000,0.030774757,-3.5340369,8.312866,0.04628389,0.01812888,0.0023063151,27.857992,-22.07311,26.41408,-4.99896,0.0,0.0,0.0,0.0,0.0,0.0,648.2254,1283.0321,-201.0,1643.4463,994.7215,-201.0,2632.0842,858.279,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.600000,0 days 00:00:00.620000,0.032128807,-3.234411,7.1058154,0.056313787,0.022622988,0.002314124,27.933355,-22.666924,29.073557,-3.203969,0.0,0.0,0.0,0.0,0.0,0.0,534.3793,1398.89,-201.0,1589.8477,942.71344,-201.0,2588.2566,821.8199,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.610000,0 days 00:00:00.630000,0.033321083,-4.8131423,9.74808,0.053678542,0.02803276,0.0023029847,28.738218,-20.520933,31.440691,-2.2786257,0.0,0.0,0.0,0.0,0.0,0.0,801.12213,1195.1212,-201.0,1895.3701,970.5462,-201.0,2833.916,730.80176,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.620000,0 days 00:00:00.640000,0.03364445,-4.7825336,9.745258,0.043322805,0.029678963,0.0022261825,29.020456,-20.517172,30.939745,-1.8641243,0.0,0.0,0.0,0.0,0.0,0.0,743.1826,1631.4624,-201.0,1616.016,1238.2645,-201.0,2660.0525,829.196,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.630000,0 days 00:00:00.650000,0.032865893,-4.7433295,11.36459,0.035590474,0.027231382,0.00220471,28.019575,-20.385412,29.92652,-5.0921636,0.0,0.0,0.0,0.0,0.0,0.0,1109.3798,1520.0928,-201.0,1897.4801,1385.1387,-201.0,2920.5237,830.9832,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.640000,0 days 00:00:00.660000,0.033808533,-5.5472846,12.193709,0.04301521,0.0205719,0.0024793746,29.940054,-20.503893,28.393606,-5.5157638,0.0,0.0,0.0,0.0,0.0,0.0,1143.4651,1488.6439,-201.0,1933.8857,1315.1438,-201.0,2969.528,949.5222,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.650000,0 days 00:00:00.670000,0.03427131,-5.1163473,12.427829,0.056045037,0.019754387,0.0028359042,30.193817,-21.169382,26.66477,-3.5001523,0.0,0.0,0.0,0.0,0.0,0.0,894.2281,1295.1908,-201.0,1885.7787,1107.0524,-201.0,2862.7969,960.2962,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.660000,0 days 00:00:00.680000,0.038636465,-4.1170416,10.829486,0.056307327,0.022710389,0.003410802,31.5589,-24.002314,28.510195,1.2318912,0.0,0.0,0.0,0.0,0.0,0.0,850.0965,1374.9637,-201.0,1733.6631,1216.3755,-201.0,2719.5237,1032.5302,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.670000,0 days 00:00:00.690000,0.040392805,-1.2703003,5.838857,0.047088504,0.025949052,0.003694163,29.468895,-26.760864,27.432142,-1.459756,0.0,0.0,0.0,0.0,0.0,0.0,573.96625,1555.5775,-201.0,1362.1627,1238.9913,-201.0,2414.1482,874.4448,-201.0
